,,,,,,,,,,,,,,,,,,,,,
,,TAHUN (YYYY) : ,,,,,2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,002,REGIONAL : ,,,,,Regional.2,,,,,,,,,,,,,,
,RegP2,,,,,,,,,,,,,,,,,,,,
,38,CABANG / TERMINAL : ,,,,,Banten,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,,Utilisasi Infrastruktur,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Bulan,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,
,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total
,,,1,Kesiapan alat bongkar muat,,,,,,,,,,,,,,,,,
,B22010100,,,1,Quay Container Crane,,,%,,,,,,,,,,,,,
,B22010200,,,2,Harbour Mobile Crane,,,%,,,,,,,,,,,,,
,B22010300,,,3,Gantry Jib Crane,,,%,,,,,,,,,,,,,
,B22010400,,,4,Gantry Luffing Crane,,,%,95.37,93.71,95.64,96.03,96.27,,,,,,,,95.40
,B22010500,,,5,Fixed Jib Crane,,,%,,,,,,,,,,,,,
,B22010600,,,6,Rail Mounted Gantry Crane,,,%,,,,,,,,,,,,,
,B22010700,,,7,Rubber Tyred Gantry Crane,,,%,,,,,,,,,,,,,
,B22010800,,,8,Automatic Stacking Crane,,,%,,,,,,,,,,,,,
,B22010900,,,9,Reach Stacker,,,%,,,,,,,,,,,,,
,B22011000,,,10,Side Loader,,,%,,,,,,,,,,,,,
,B22011100,,,11,Top Loader,,,%,,,,,,,,,,,,,
,B22011200,,,12,Head Truck,,,%,99.21,99.30,99.21,99.18,98.94,,,,,,,,99.17
,B22011300,,,13,Chassis,,,%,,,,,,,,,,,,,
,B22011400,,,14,Straddle Carrier,,,%,,,,,,,,,,,,,
,B22011500,,,15,Mobile Crane,,,%,,,,,,,,,,,,,
,B22011600,,,16,Fixed Crane,,,%,,,,,,,,,,,,,
,B22011700,,,17,Overhead Crane,,,%,,,,,,,,,,,,,
,B22011800,,,18,Hopper,,,%,,,,98.32,99.21,,,,,,,,98.77
,B22011900,,,19,Excavator,,,%,85.04,85.50,85.04,84.80,84.70,,,,,,,,85.02
,B22012000,,,20,Ship to shore,,,%,,,,,,,,,,,,,
,B22012100,,,21,Conveyor,,,%,,,,,,,,,,,,,
,B22012200,,,22,Wheel Loader,,,%,98.01,98.50,98.01,98.33,97.70,,,,,,,,98.11
,B22012300,,,23,Bulldozer,,,%,,,,,,,,,,,,,
,B22012400,,,24,Dump Truck,,,%,,,,,,,,,,,,,
,B22012500,,,25,Tronton,,,%,,,,,,,,,,,,,
,B22012600,,,26,Forklift,,,%,,,,,,,,,,,,,
,B22012700,,,27,Trailer,,,%,,,,,,,,,,,,,
,B22012800,,,28,Alat lainnya,,,%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,2,Utilisasi alat bongkar muat,,,,,,,,,,,,,,,,,
,B22020100,,,1,Quay Container Crane,,,%,,,,,,,,,,,,,
,B22020200,,,2,Harbour Mobile Crane,,,%,,,,,,,,,,,,,
,B22020300,,,3,Gantry Jib Crane,,,%,,,,,,,,,,,,,
,B22020400,,,4,Gantry Luffing Crane,,,%,15.29,16.30,8.85,13.24,26.46,,,,,,,,16.03
,B22020500,,,5,Fixed Jib Crane,,,%,,,,,,,,,,,,,
,B22020600,,,6,Rail Mounted Gantry Crane,,,%,,,,,,,,,,,,,
