,,,,,,,,,,,,,,,,,,,,,,
,,TAHUN (YYYY) : ,,,,,2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,002,REGIONAL : ,,,,,Regional.2,,,,,,,,,,,,,,,
,RegP2,,,,,,,,,,,,,,,,,,,,,
,38,CABANG / TERMINAL : ,,,,,Banten,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,,Kinerja Pelayanan Kapal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Bulan,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,
,,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total,
,F110302000000,,,2,Berth Working Time (BWT),,,Jam,15.76,8.96,15.85,18.40,5.97,,,,,,,,12.99,
,F110303000000,,,3,Effective Time (ET),,,Jam,15.74,8.95,15.84,18.38,5.97,,,,,,,,12.98,
,F110304000000,,,4,Idle Time (IT),,,Jam,0.00,0.00,0.00,0.16,0.00,,,,,,,,0.03,
,F110305000000,,,5,Not Operation Time (NOT),,,Jam,4.54,6.98,5.31,5.78,5.87,,,,,,,,5.70,
,F110306000000,,,6,ET / BT,,,%,69.49,53.24,68.50,66.74,48.80,,,,,,,,61.35,
,,,,,,,,,,,,,,,,,,,,,,
,,,4,Terminal Curah Kering,,,,,,,,,,,,,,,,,,
,F110401000000,,,1,Berthing Time (BT),,,Jam,92.92,115.59,127.53,54.96,109.61,,,,,,,,100.12,
,F110402000000,,,2,Berth Working Time (BWT),,,Jam,75.17,106.10,117.11,49.50,102.73,,,,,,,,90.12,
,F110403000000,,,3,Effective Time (ET),,,Jam,57.74,56.23,70.17,36.35,71.75,,,,,,,,58.45,
,F110404000000,,,4,Idle Time (IT),,,Jam,9.96,39.69,23.76,3.28,13.59,,,,,,,,18.06,
,F110405000000,,,5,Not Operation Time (NOT),,,Jam,29.33,28.85,31.35,12.68,19.88,,,,,,,,24.42,
,F110406000000,,,6,ET / BT,,,%,62.14,50.49,54.90,65.32,66.04,,,,,,,,59.78,
,,,,,,,,,,,,,,,,,,,,,,
,,,5,Terminal Kendaraan,,,,,,,,,,,,,,,,,,
,F110501000000,,,1,Berthing Time (BT),,,Jam,,,,,,,,,,,,,,
,F110502000000,,,2,Berth Working Time (BWT),,,Jam,,,,,,,,,,,,,,
,F110503000000,,,3,Effective Time (ET),,,Jam,,,,,,,,,,,,,,
,F110504000000,,,4,Idle Time (IT),,,Jam,,,,,,,,,,,,,,
,F110505000000,,,5,Not Operation Time (NOT),,,Jam,,,,,,,,,,,,,,
,F110506000000,,,6,ET / BT,,,%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,2,DALAM NEGERI,,,,,,,,,,,,,,,,,,,
,,,1,Terminal Petikemas,,,,,,,,,,,,,,,,,,
,F120101000000,,,1,Berthing Time (BT),,,Jam,,,,,,,,,,,,,,
,F120102000000,,,2,Berth Working Time (BWT),,,Jam,,,,,,,,,,,,,,
,F120103000000,,,3,Effective Time (ET),,,Jam,,,,,,,,,,,,,,
,F120104000000,,,4,Idle Time (IT),,,Jam,,,,,,,,,,,,,,
,F120105000000,,,5,Not Operation Time (NOT),,,Jam,,,,,,,,,,,,,,
,F120106000000,,,6,ET / BT,,,%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,2,Terminal Multipurpose,,,,,,,,,,,,,,,,,,
,F120201000000,,,1,Berthing Time (BT),,,Jam,59.35,66.96,76.28,68.36,61.39,,,,,,,,66.47,
,F120202000000,,,2,Berth Working Time (BWT),,,Jam,49.07,53.66,64.94,86.46,50.90,,,,,,,,61.01,
,F120203000000,,,3,Effective Time (ET),,,Jam,28.47,32.65,42.03,31.97,35.07,,,,,,,,34.04,
,F120204000000,,,4,Idle Time (IT),,,Jam,7.23,9.52,6.67,9.19,5.02,,,,,,,,7.53,
,F120205000000,,,5,Not Operation Time (NOT),,,Jam,23.60,25.68,27.53,24.44,27.07,,,,,,,,25.66,
,F120206000000,,,6,ET / BT,,,%,50.87,49.70,52.96,50.24,55.77,,,,,,,,51.91,58.648
,,,,,,,,,,,,,,,,,,,,,,
,,,3,Terminal Curah Cair,,,,,,,,,,,,,,,,,,
,F120301000000,,,1,Berthing Time (BT),,,Jam,33.00,35.00,33.00,34.00,41.00,,,,,,,,35.20,
,F120302000000,,,2,Berth Working Time (BWT),,,Jam,25.05,26.46,27.50,27.67,33.52,,,,,,,,28.04,
,F120303000000,,,3,Effective Time (ET),,,Jam,25.03,25.65,27.48,27.65,33.50,,,,,,,,27.86,
,F120304000000,,,4,Idle Time (IT),,,Jam,0.00,0.78,0.00,0.00,0.00,,,,,,,,0.16,
,F120305000000,,,5,Not Operation Time (NOT),,,Jam,7.92,8.52,5.77,6.45,7.04,,,,,,,,7.14,
,F120306000000,,,6,ET / BT,,,%,71.18,71.93,79.99,78.59,80.66,,,,,,,,76.47,
,,,,,,,,,,,,,,,,,,,,,,
,,,4,Terminal Curah Kering,,,,,,,,,,,,,,,,,,
,F120401000000,,,1,Berthing Time (BT),,,Jam,45.67,30.97,63.33,51.80,60.68,,,,,,,,50.49,
,F120402000000,,,2,Berth Working Time (BWT),,,Jam,32.96,23.11,57.92,39.43,53.33,,,,,,,,41.35,
,F120403000000,,,3,Effective Time (ET),,,Jam,18.94,13.68,17.01,31.47,28.25,,,,,,,,21.87,
,F120404000000,,,4,Idle Time (IT),,,Jam,10.95,7.33,32.12,3.00,10.97,,,,,,,,12.87,
,F120405000000,,,5,Not Operation Time (NOT),,,Jam,17.36,17.62,14.17,17.50,16.27,,,,,,,,16.58,
,F120406000000,,,6,ET / BT,,,%,48.75,47.96,26.86,64.62,49.64,,,,,,,,47.57,
,,,,,,,,,,,,,,,,,,,,,,
,,,5,Terminal Kendaraan,,,,,,,,,,,,,,,,,,
,F120501000000,,,1,Berthing Time (BT),,,Jam,,,,,,,,,,,,,,
,F120502000000,,,2,Berth Working Time (BWT),,,Jam,,,,,,,,,,,,,,
,F120503000000,,,3,Effective Time (ET),,,Jam,,,,,,,,,,,,,,
