,,Version : 3.1,,,,,,,,,,,,,,,,,,,,,
,,TAHUN (YYYY) : ,,,,,2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,002,REGIONAL : ,,,,,Regional.2,,,,,,,,,,,,,,,,
,RegP2,,,,,,,,,,,,,,,,,,,,,,
,38,CABANG / TERMINAL : ,,,,,Banten,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,,"Kunjungan Kapal Berdasarkan Lokasi Sandar, Jenis Pelayaran dan Jenis Muatan Kapal",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Bulan,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total,,
,,1,2,,,,,3,4,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1,DERMAGA UMUM,,,,,,,,,,,,,,,,,,,,
,A010201040000,,,,4,Curah Cair Non - BBM,,Call,,,,,,,,,,,,,0.00,,
,A010201040000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A010201050000,,,,5,Curah Kering,,Call,2.00,3.00,3.00,3.00,7.00,,,,,,,,18.00,,
,A010201050000,,,,,,,GT,"9,716.00","11,910.00","11,588.00","11,498.00","30,124.00",,,,,,,,"74,836.00",,
,A010201060000,,,,6,Petikemas,,Call,,1.00,1.00,1.00,1.00,,,,,,,,4.00,,
,A010201060000,,,,,,,GT,,"11,512.00","11,512.00","11,512.00","11,512.00",,,,,,,,"46,048.00",,
,A010201070000,,,,7,Ro - ro,,Call,,,238.00,1.00,2.00,,,,,,,,241.00,,
,A010201070000,,,,,,,GT,,,"2,022,277.00","6,527.00","13,493.00",,,,,,,,"2,042,297.00",,
,A010201080000,,,,8,Hewan,,Call,,,,,,,,,,,,,0.00,,
,A010201080000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A010201090000,,,,9,Penumpang,,Call,,,,,,,,,,,,,0.00,,
,A010201090000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,Tug Boat dan Tongkang,,,,,,,,,,,,,,,,,,
,A010202010000,,,,1,General Cargo,,Call,,,,,,,,,,,,,0.00,,
,A010202010000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A010202020000,,,,2,Curah Cair BBM,,Call,,,,,,,,,,,,,0.00,,
,A010202020000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A010202030000,,,,3,Gas,,Call,,,,,,,,,,,,,0.00,,
,A010202030000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A010202040000,,,,4,Curah Cair Non - BBM,,Call,,,,,,,,,,,,,0.00,,
,A010202040000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A010202050000,,,,5,Curah Kering,,Call,,,,,,,,,,,,,0.00,,
,A010202050000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A010202060000,,,,6,Petikemas,,Call,,,,,,,,,,,,,0.00,,
,A010202060000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A010202070000,,,,7,Tug Boat tanpa tongkang,,Call,,,,,,,,,,,,,0.00,,
,A010202070000,,,,,,,GT,,,,,,,,,,,,,0.00,,
,A010202080000,,,,8,Jumlah Tug Boat dan Tongkang,,Call,46.00,73.00,46.00,82.00,68.00,,,,,,,,315.00,,
,A010202080000,,,,,(Jika data breakdown tidak tersedia),,GT,"81,878.00","124,538.00","81,912.00","139,760.00","123,445.00",,,,,,,,"551,533.00",,
,,,,,,,,,,,,,,,,,,,,,,,
