,,,,,,,,,,,,,,,,,,,,,
,,TAHUN (YYYY) : ,,,,,2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,002,REGIONAL : ,,,,,Regional.2,,,,,,,,,,,,,,
,RegP2,,,,,,,,,,,,,,,,,,,,
,38,CABANG / TERMINAL : ,,,,,Banten,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Bulan,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,
,,,,,,,,,,,,,,,,,,,,,
,,No,Uraian,,,,,Satuan,2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total
,,1,2,,,,,3,4,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,
,402.01.04.03.00.00.00.00.00,,,,3,Gerakan Ekstra,,Box,,,,,,,,,,,,,0.00
,402.01.04.04.00.00.00.00.00,,,,4,Stripping / Stuffing,,Box,,,,,,,,,,,,,0.00
,402.01.04.05.00.00.00.00.00,,,,5,Penumpukan,,Ton Hari,,,,,,,,,,,,,0.00
,402.01.04.05.00.00.00.00.00,,,,,,,M3 Hari,,,,,,,,,,,,,0.00
,402.01.04.05.00.00.00.00.00,,,,,,,Box Hari,,,,,,,,,,,,,0.00
,,,,5,Petikemas Transhipment,,,,,,,,,,,,,,,,
,402.01.05.01.00.00.00.00.00,,,,1,Stevedoring,,Box,,,,,,,,,,,,,0.00
,402.01.05.01.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,402.01.05.02.00.00.00.00.00,,,,2,Lift On/Lift Off,,Box,,,,,,,,,,,,,0.00
,402.01.05.03.00.00.00.00.00,,,,3,Haulage,,Box,,,,,,,,,,,,,0.00
,,,,6,Petikemas Lainnya ,,,,,,,,,,,,,,,,
,,,,,1,Behandle,,,,,,,,,,,,,,,
,402.01.06.01.01.00.00.00.00,,,,,1,Gerakan Ekstra,Box,,,,,,,,,,,,,0.00
,402.01.06.01.02.00.00.00.00,,,,,2,Stripping / Stuffing,Box,,,,,,,,,,,,,0.00
,,,,,2,Tempat Pemeriksaan Fisik Terpadu,,,,,,,,,,,,,,,
,402.01.06.02.01.00.00.00.00,,,,,1,Gerakan Ekstra,Box,,,,,,,,,,,,,0.00
,402.01.06.02.02.00.00.00.00,,,,,2,Stripping / Stuffing,Box,,,,,,,,,,,,,0.00
,402.01.06.03.00.00.00.00.00,,,,3,Fumigasi,,Box,,,,,,,,,,,,,0.00
,402.01.06.04.00.00.00.00.00,,,,4,Batal Muat,,Box,,,,,,,,,,,,,0.00
,402.01.06.05.00.00.00.00.00,,,,5,Pindah Kapal/alih kapal,,Box,,,,,,,,,,,,,0.00
,402.01.06.06.00.00.00.00.00,,,,6,Closing,,Box,,,,,,,,,,,,,0.00
,402.01.06.07.00.00.00.00.00,,,,7,Batal Dokumen ,,Box,,,,,,,,,,,,,0.00
,402.01.06.08.00.00.00.00.00,,,,8,Labeling ,,Unit,,,,,,,,,,,,,0.00
,402.01.06.09.00.00.00.00.00,,,,9,Overbrengen,,Box,,,,,,,,,,,,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,2,Pelayanan Petikemas Domestik,,,,,,,,,,,,,,,,,
,402.02.01.00.00.00.00.00.00,,,1,Dermaga,,,Box,,,,,,,,,,,,,0.00
,402.02.01.00.00.00.00.00.00,,,,,,,Ton ,,,,,,,,,,,,,0.00
,402.02.01.00.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,402.02.01.00.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,,,,2,Operasi Kapal,,,,,,,,,,,,,,,,
,402.02.02.01.00.00.00.00.00,,,,1,Stevedoring,,Box,,,,,,,,,,,,,0.00
,402.02.02.01.00.00.00.00.00,,,,,,,Ton,,,,,,,,,,,,,0.00
,402.02.02.01.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,402.02.02.01.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,402.02.02.02.00.00.00.00.00,,,,2,Lift On/Lift Off,,Box,,,,,,,,,,,,,0.00
,402.02.02.02.00.00.00.00.00,,,,,,,Ton ,,,,,,,,,,,,,0.00
,402.02.02.02.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,402.02.02.02.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,402.02.02.03.00.00.00.00.00,,,,3,Haulage,,Box,,,,,,,,,,,,,0.00
,402.02.02.03.00.00.00.00.00,,,,,,,Ton ,,,,,,,,,,,,,0.00
,402.02.02.03.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,402.02.02.03.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,402.02.02.04.00.00.00.00.00,,,,4,Restowage/Shifting,,Box,,,,,,,,,,,,,0.00
,402.02.02.04.00.00.00.00.00,,,,,,,Ton ,,,,,,,,,,,,,0.00
,402.02.02.04.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,402.02.02.04.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,402.02.02.05.00.00.00.00.00,,,,5,Buka Tutup Palka,,Palka,,,,,,,,,,,,,0.00
,402.02.02.05.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,402.02.02.05.00.00.00.00.00,,,,,,,Kegiatan,,,,,,,,,,,,,0.00
,402.02.02.06.00.00.00.00.00,,,,6,Kerjasama Pelayanan B/M ,,Box,,,,,,,,,,,,,0.00
,402.02.02.06.00.00.00.00.00,,,,,,,Ton ,,,,,,,,,,,,,0.00
,402.02.02.06.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,402.02.02.06.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,402.02.02.07.00.00.00.00.00,,,,7,Kade Lossing,,Box,,,,,,,,,,,,,0.00
,,,,3,Operasi Lapangan,,,,,,,,,,,,,,,,
,402.02.03.01.00.00.00.00.00,,,,1,Lift On/Lift Off,,Box,,,,,,,,,,,,,0.00
,402.02.03.01.00.00.00.00.00,,,,,,,Ton ,,,,,,,,,,,,,0.00
,402.02.03.01.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,402.02.03.01.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,402.02.03.02.00.00.00.00.00,,,,2,Gerakan Ekstra,,Box,,,,,,,,,,,,,0.00
,402.02.03.02.00.00.00.00.00,,,,,,,Ton ,,,,,,,,,,,,,0.00
,402.02.03.02.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,402.02.03.02.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,402.02.03.03.00.00.00.00.00,,,,3,Penumpukan Petikemas,,Box Hari,,,,,,,,,,,,,0.00
,402.02.03.03.00.00.00.00.00,,,,,,,Ton Hari,,,,,,,,,,,,,0.00
,402.02.03.03.00.00.00.00.00,,,,,,,M3 Hari,,,,,,,,,,,,,0.00
,402.02.03.03.00.00.00.00.00,,,,,,,Unit Hari,,,,,,,,,,,,,0.00
,402.02.03.04.00.00.00.00.00,,,,4,Reefer (Suplai listrik dan monitoring),,Box Shift,,,,,,,,,,,,,0.00
,402.02.03.04.00.00.00.00.00,,,,,,,Shift,,,,,,,,,,,,,0.00
,,,,4,Petikemas Transhipment,,,,,,,,,,,,,,,,
,402.02.04.01.00.00.00.00.00,,,,1,Stevedoring,,Box,,,,,,,,,,,,,0.00
,402.02.04.01.00.00.00.00.00,,,,,,,Ton ,,,,,,,,,,,,,0.00
,402.02.04.01.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,402.02.04.01.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,402.02.04.02.00.00.00.00.00,,,,2,Lift On/Lift Off,,Box,,,,,,,,,,,,,0.00
,402.02.04.02.00.00.00.00.00,,,,,,,Ton ,,,,,,,,,,,,,0.00
,402.02.04.02.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,402.02.04.02.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,402.02.04.03.00.00.00.00.00,,,,3,Haulage,,Box,,,,,,,,,,,,,0.00
,402.02.04.03.00.00.00.00.00,,,,,,,Ton ,,,,,,,,,,,,,0.00
,402.02.04.03.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,402.02.04.03.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,,,,5,Petikemas Lainnya ,,,,,,,,,,,,,,,,
,,,,,1,Tempat Pemeriksaan Fisik Terpadu,,,,,,,,,,,,,,,
,402.02.05.01.01.00.00.00.00,,,,,1,Gerakan Ekstra,Box,,,,,,,,,,,,,0.00
,402.02.05.01.02.00.00.00.00,,,,,2,Stripping / Stuffing,Box,,,,,,,,,,,,,0.00
,402.02.05.02.00.00.00.00.00,,,,2,Fumigasi,,Box,,,,,,,,,,,,,0.00
,402.02.05.03.00.00.00.00.00,,,,3,Batal Muat,,Box,,,,,,,,,,,,,0.00
,402.02.05.03.00.00.00.00.00,,,,,,,Ton ,,,,,,,,,,,,,0.00
,402.02.05.03.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,402.02.05.03.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,402.02.05.04.00.00.00.00.00,,,,4,Pindah Kapal/alih kapal,,Box,,,,,,,,,,,,,0.00
,402.02.05.04.00.00.00.00.00,,,,,,,Ton ,,,,,,,,,,,,,0.00
,402.02.05.04.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,402.02.05.04.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,402.02.05.05.00.00.00.00.00,,,,5,Closing,,Box,,,,,,,,,,,,,0.00
,402.02.05.06.00.00.00.00.00,,,,6,Batal Dokumen ,,Box,,,,,,,,,,,,,0.00
,402.02.05.06.00.00.00.00.00,,,,,,,Ton ,,,,,,,,,,,,,0.00
,402.02.05.06.00.00.00.00.00,,,,,,,M3,,,,,,,,,,,,,0.00
,402.02.05.06.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,402.02.05.07.00.00.00.00.00,,,,7,Overbrengen,,Box,,,,,,,,,,,,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,3,PELAYANAN BARANG NON PETIKEMAS GENERAL CARGO,,,,,,,,,,,,,,,,,,
,403.01.01.00.00.00.00.00.00,,1,Dermaga,,,,Ton,"31,173.00","77,246.27","50,277.00","136,222.00","94,364.00",,,,,,,,"389,282.27"
,403.01.01.00.00.00.00.00.00,,,,,,,M3,"62,776.00","23,676.00","88,806.00","1,464.00","14,772.00",,,,,,,,"191,494.00"
,403.01.01.00.00.00.00.00.00,,,,,,,Unit,,,,,,,,,,,,,0.00
,403.01.02.00.00.00.00.00.00,,2,Gudang Penumpukan Diusahakan,,,,Ton Hari,,,,,,,,,,,,,0.00
,403.01.02.00.00.00.00.00.00,,,,,,,M3 Hari,,,,,,,,,,,,,0.00
,403.01.03.00.00.00.00.00.00,,3,Lapangan Penumpukan Diusahakan,,,,Ton Hari,,,,"15,707.00",,,,,,,,,"15,707.00"
,403.01.03.00.00.00.00.00.00,,,,,,,M3 Hari,,,"2,644.00","1,250.00","1,573.00",,,,,,,,"5,467.00"
,403.01.03.00.00.00.00.00.00,,,,,,,Unit Hari,,,,,,,,,,,,,0.00
,,,4,Bongkar Muat,,,,,,,,,,,,,,,,,
,,,,1,Per Mata Rantai,,,,,,,,,,,,,,,,
